Graph: [5, 2, 1, 5, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 1, 5, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 1, 5, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 1, 3, 4], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 1, 3, 5], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 1, 4, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 1, 5, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 2, 3, 4], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 2, 3, 5], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 2, 4, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 2, 5, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 3, 1, 4], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 3, 1, 5], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 3, 2, 4], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 3, 2, 5], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 3, 4, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 3, 4, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 3, 5, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 3, 5, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 4, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 4, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 4, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 4, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 5, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 5, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 5, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 2, 5, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 1, 1, 4], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 1, 1, 5], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 1, 2, 4], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 1, 2, 5], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 1, 4, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 1, 4, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 1, 5, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 1, 5, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 2, 1, 4], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 2, 1, 5], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 2, 2, 4], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 2, 2, 5], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 2, 4, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 2, 4, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 2, 5, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 2, 5, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 4, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 4, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 4, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 4, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 5, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 5, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 5, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 3, 5, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 1, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 1, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 1, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 1, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 2, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 2, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 2, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 2, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 3, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 3, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 3, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 4, 3, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 1, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 1, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 1, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 1, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 2, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 2, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 2, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 2, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 3, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 3, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 3, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 2, 5, 3, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 1, 2, 4], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 1, 2, 5], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 1, 4, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 1, 5, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 2, 1, 4], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 2, 1, 5], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 2, 2, 4], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 2, 2, 5], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 2, 4, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 2, 4, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 2, 5, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 2, 5, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 4, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 4, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 4, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 5, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 5, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 1, 5, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 1, 1, 4], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 1, 1, 5], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 1, 2, 4], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 1, 2, 5], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 1, 4, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 1, 4, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 1, 5, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 1, 5, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 2, 1, 4], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 2, 1, 5], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 2, 2, 4], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 2, 2, 5], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 2, 4, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 2, 4, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 2, 5, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 2, 5, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 4, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 4, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 4, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 4, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 5, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 5, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 5, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 2, 5, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 4, 1, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 4, 1, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 4, 1, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 4, 2, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 4, 2, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 4, 2, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 4, 2, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 5, 1, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 5, 1, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 5, 1, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 5, 2, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 5, 2, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 3, 5, 2, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 3, 5, 2, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 1, 1, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 4, 1, 1, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 1, 2, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 4, 1, 2, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 4, 1, 2, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 4, 1, 2, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 1, 3, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 1, 3, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 4, 1, 3, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 1, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 1, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 1, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 1, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 2, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 2, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 2, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 2, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 3, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 3, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 3, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 4, 2, 3, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 3, 1, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 3, 1, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 4, 3, 1, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 3, 2, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 4, 3, 2, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 4, 3, 2, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 4, 3, 2, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 1, 1, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 5, 1, 1, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 1, 2, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 5, 1, 2, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 5, 1, 2, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 5, 1, 2, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 1, 3, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 1, 3, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 5, 1, 3, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 1, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 1, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 1, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 1, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 2, 1, 3], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 2, 2, 3], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 2, 3, 1], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 2, 3, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 3, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 3, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 3, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 5, 2, 3, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 3, 1, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 3, 1, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 5, 3, 1, 2, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 3, 2, 1, 1], Gonalities:[5, 7, 11]
Graph: [5, 5, 3, 2, 1, 2], Gonalities:[5, 7, 11]
Graph: [5, 5, 3, 2, 2, 1], Gonalities:[5, 7, 11]
Graph: [5, 5, 3, 2, 2, 2], Gonalities:[5, 7, 11]
